Week,Business,Message,Email_Type,Delivered,Opened,Clicked,Unsubscribed
1,Clothing,ACQ_BABYKIDS_15_01_06_381,Trade,294890,73205,10249,1115
1,Clothing,ACQ_INSTORE_15_01_06_382,Trade,308032,82619,18090,1119
1,Homeware,ABASKET_15_01_01_902,Trade,1405,747,112,0
1,Homeware,ABASKET_15_01_02_902,Trade,1314,690,135,2
1,Homeware,ABASKET_15_01_05_902,Trade,1324,725,153,1
1,Homeware,BNB_LAP_15_01_01_379,Trade,720,325,124,1
1,Homeware,BNB_LAP_15_01_02_379,Trade,275,128,55,0
1,Homeware,BNB_LAP_15_01_04_379,Trade,558,234,104,0
1,Homeware,BNB_LAP_15_01_05_379,Trade,196,88,27,0
1,Homeware,BNB_TAB_15_01_01_378,Trade,1419,622,142,0
1,Homeware,BNB_TAB_15_01_02_378,Trade,391,188,64,0
1,Homeware,BNB_TAB_15_01_04_378,Trade,762,290,62,0
1,Homeware,BNB_TAB_15_01_05_378,Trade,272,112,20,0
1,Homeware,Books_R_15_01_01_333,Trade,135215,27554,2581,181
1,Homeware,DysonTrade_15_01_04_364,Trade,29923,11991,2626,6
1,Homeware,DysonTrade_R_15_01_07_364,Trade,2159,755,225,0
1,Homeware,ENTS_HungerGames_15_01_7_043,Trade,29564,9201,2480,148
1,Homeware,Furniture_15_01_01_018,Trade,148089,37305,9085,60
1,Homeware,GARDEN_15_01_02_019,Trade,56811,14247,2695,832
1,Homeware,HomeLaunch_15_01_6_015,Inform,798160,225721,34828,48400
1,Homeware,MothersDay_R_15_01_5_374,Inform,3902,418,75,12631
1,Homeware,NWL_DA_DSbaner_15_01_4_011,Inform,114578,35679,6782,296
1,Homeware,NWL_DIRACT_15_01_4_011,Inform,1184534,295509,57874,8189
1,Homeware,NWL_FOLLOW_UP_15_01_01_146,Inform,260977,156399,19448,10091
1,Homeware,NWL_G123_15_01_05_275,Inform,2878967,916546,116022,2462
1,Homeware,NWL_G123DSbaner_15_01_5_275,Inform,4470,1901,486,8382
1,Grocery,BABY_14_1_2_681,Inform,4854,1337,107,7368
1,Grocery,CCB_ST_SPEND_15_1_4_670,Inform,159868,95950,10951,303
1,Grocery,CNC_CFL_15_01_07_610,Inform,21648,6028,429,197
1,Grocery,CNC_CFL_15_01_07_612,Inform,20027,3801,284,115
1,Grocery,CNC_CFL_STATION_15_01_07_610,Inform,31448,7392,346,103
1,Grocery,CNC_CFL_STATION_15_01_07_612,Inform,22657,4794,253,171
1,Grocery,CNC_NEWSTOR_15_01_7_610,Inform,9914,2919,112,95
1,Grocery,CNC_NEWSTORE_15_01_7_612,Inform,6567,1524,66,93
1,Grocery,INFQ_6OFF_RM_15_01_01_645,Trade,400443,152064,11922,21
1,Grocery,SO_15_01_01_WEC_633,Trade,277,122,9,0
1,Grocery,SO_15_01_02_WEC_633,Trade,4642,2098,273,199
1,Grocery,SO_15_01_04_WEC_633,Trade,4410,1769,159,0
1,Grocery,SO_15_01_05_WEC_633,Trade,2887,1420,206,0
1,Grocery,TODDLER_15_1_5_675,Trade,3639,960,73,0
1,Grocery,WINE_15_1_5_649,Trade,227016,60133,3007,33898
1,Grocery,C_GRY_ATRISK_15_01_05,Inform,594,438,464,251
1,Grocery,C_GRY_DS_ANNIV_15_01_06,Inform,3918,2742,1102,0
1,Grocery,C_GRY_DS_BENEFITS_15_01_01,Inform,2335,1572,198,3962
1,Grocery,C_GRY_DS_BENEFITS_15_01_05,Inform,2383,1597,254,3722
1,Grocery,C_WIN_CRM_FTS_15_01_04,Inform,390,193,28,10468
1,Grocery,C_WIN_CRM_INTRO_15_01_04,Inform,9366,2058,315,255
1,Grocery,TCGRY_CRM_EN2A_15_01_05,Trade,4530,1587,163,3904
1,Grocery,TCGRY_CRM_EN2A_15_1_02,Trade,8102,2705,321,1317
1,Grocery,TCGRY_CRM_EN2B_15_01_05,Trade,41957,12619,1827,135
1,Grocery,TCGRY_CRM_EN3_15_01_05,Trade,7127,2805,285,37
1,Grocery,TCGRY_CRM_EN3_15_1_02,Trade,6481,2576,271,125
1,Grocery,TCGRY_CRM_RNSA_15_01_05,Trade,11054,2981,285,64
1,Grocery,TCGRY_CRM_RNSB_15_01_05,Trade,57833,15297,1524,80
1,Grocery,PERSONALISED_15_01_04_223,Trade,74283,30882,3946,22
1,Grocery,TRD_CLRN__15_01_01_083,Trade,143793,60442,28217,46
1,Grocery,TRD_CLRN_ACQ_15_01_01_161,Trade,93306,34105,19941,138
1,Grocery,TRD_CLRN_R_ACQ_15_01_02_161,Trade,42829,15442,6371,28
1,Grocery,WOTW_RED_15_01_05_147,Trade,123314,45855,10766,51
1,Grocery,WOW_WHITE_15_01_05_147,Trade,83737,30822,8118,34
1,Clothing,CLO_15_01_07_TRADE_WMK,Trade,499180,232491,57154,0
1,Clothing,CLO_15_01_04_TREND,Inform,323291,116353,14982,0
1,Clothing,CLO_15_01_04_WELCOME2,Inform,3063,2163,351,0
1,Clothing,CLO_15_01_02_TRADE_GENERIC,Trade,251292,88040,9655,0
1,Clothing,CLO_15_01_02_TRADE_KIDS,Trade,210774,75232,11700,0
1,Clothing,CLO_15_01_02_TRADE_MENS,Trade,50162,22516,2885,0
1,Clothing,CLO_15_01_02_TRADE_WOMEN1,Trade,119129,54468,9797,0
1,Clothing,CLO_15_01_02_TRADE_WOMEN2,Trade,119115,54048,8540,0
1,Clothing,CLO_15_01_WELCOME,Inform,2849,2169,425,0
2,Clothing,ABASKET_15_02_01_286,Trade,2587,1059,251,0
2,Clothing,ABASKET_15_02_02_286,Trade,1551,635,161,0
2,Clothing,ABASKET_15_02_04_286,Trade,1450,551,134,0
2,Clothing,ABASKET_15_02_05_286,Trade,1891,853,241,0
2,Clothing,ACQ_INSTORE_15_02_06_382,Trade,363131,80297,16834,56
2,Homeware,ABASKET_15_02_01_902,Trade,1394,678,130,87
2,Homeware,ABASKET_15_02_02_902,Trade,1197,655,115,0
2,Homeware,ABASKET_15_02_04_902,Trade,1169,531,111,33
2,Homeware,ABASKET_15_02_05_902,Trade,1025,581,110,0
2,Homeware,BNB_LAP_15_02_01_379,Trade,537,234,55,23
2,Homeware,BNB_LAP_15_02_02_379,Trade,184,85,24,0
2,Homeware,BNB_TAB_15_02_01_378,Trade,1316,568,100,62
2,Homeware,BNB_TAB_15_02_02_378,Trade,440,222,53,0
2,Homeware,ELEC_15_02_01_013,Trade,729917,221824,34970,9
2,Homeware,ENTS_HungerGameR_15_02_2_043,Trade,5904,905,180,270
